month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-01-01,AA,"AA. (Alif Alif)",Resorts,6282891.90
2019-01-01,AA,"AA. (Alif Alif)",Guesthouse,392421.48
2019-01-01,ADh,"ADh. (Alif Dhaal)",Resorts,9130758.12
2019-01-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,217984.65
2019-01-01,B,"B. (Baa)",Resorts,6075288.90
2019-01-01,B,"B. (Baa)",Hotels,302351.40
2019-01-01,B,"B. (Baa)",Guesthouse,151220.10
2019-01-01,Dh,"Dh. (Dhaalu)",Resorts,3481961.52
2019-01-01,Dh,"Dh. (Dhaalu)",Guesthouse,3824.64
2019-01-01,F,"F. (Faafu)",Guesthouse,30889.08
2019-01-01,GA,"GA. (Gaafu Alif)",Resorts,1157487.44
2019-01-01,GA,"GA. (Gaafu Alif)",Hotels,260749.32
2019-01-01,GA,"GA. (Gaafu Alif)",Guesthouse,3260.16
2019-01-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1474715.70
2019-01-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,2624.70
2019-01-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,4645.71
2019-01-01,HA,"HA. (Haa Alif)",Resorts,1004393.10
2019-01-01,HA,"HA. (Haa Alif)",Guesthouse,23155.26
2019-01-01,HDh,"HDh. (Haa Dhaalu)",Resorts,179938.20
2019-01-01,HDh,"HDh. (Haa Dhaalu)",Hotels,211692.00
2019-01-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,9147.33
2019-01-01,K,"K. (Kaafu)",Resorts,27003251.36
2019-01-01,K,"K. (Kaafu)",Hotels,146899.50
2019-01-01,K,"K. (Kaafu)",Guesthouse,1224403.10
2019-01-01,L,"L. (Laamu)",Resorts,433876.56
2019-01-01,L,"L. (Laamu)",Guesthouse,20479.23
2019-01-01,Lh,"Lh. (Lhaviyani)",Resorts,4890383.22
2019-01-01,Lh,"Lh. (Lhaviyani)",Guesthouse,1288.56
2019-01-01,Male,"Malé City",Hotels,704510.40
2019-01-01,Male,"Malé City",Guesthouse,710252.77
2019-01-01,N,"N. (Noonu)",Resorts,2909325.42
2019-01-01,N,"N. (Noonu)",Guesthouse,15454.53
2019-01-01,R,"R. (Raa)",Resorts,3838959.51
2019-01-01,S,"S. (Addu)",Resorts,1100693.26
2019-01-01,S,"S. (Addu)",Hotels,213624.84
2019-01-01,S,"S. (Addu)",Guesthouse,1749.12
2019-01-01,Sh,"Sh. (Shaviyani)",Resorts,309640.20
2019-01-01,Th,"Th. (Thaa)",Resorts,279985.68
2019-01-01,Th,"Th. (Thaa)",Guesthouse,368.16
2019-01-01,V,"V. (Vaavu)",Resorts,1250639.52
2019-01-01,V,"V. (Vaavu)",Guesthouse,274388.86
2019-02-01,AA,"AA. (Alif Alif)",Resorts,6258133.14
2019-02-01,AA,"AA. (Alif Alif)",Guesthouse,307783.74
2019-02-01,ADh,"ADh. (Alif Dhaal)",Resorts,9607516.26
2019-02-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,247182.63
2019-02-01,B,"B. (Baa)",Resorts,6387464.82
2019-02-01,B,"B. (Baa)",Hotels,283207.08
2019-02-01,B,"B. (Baa)",Guesthouse,152466.69
2019-02-01,Dh,"Dh. (Dhaalu)",Resorts,3810602.04
2019-02-01,Dh,"Dh. (Dhaalu)",Guesthouse,6906.78
2019-02-01,GA,"GA. (Gaafu Alif)",Resorts,1003253.76
2019-02-01,GA,"GA. (Gaafu Alif)",Hotels,315789.24
2019-02-01,GA,"GA. (Gaafu Alif)",Guesthouse,3679.00
2019-02-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,954797.28
2019-02-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,183.84
2019-02-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,3452.00
2019-02-01,HA,"HA. (Haa Alif)",Resorts,1205846.22
2019-02-01,HA,"HA. (Haa Alif)",Guesthouse,27498.21
2019-02-01,HDh,"HDh. (Haa Dhaalu)",Resorts,266179.68
2019-02-01,HDh,"HDh. (Haa Dhaalu)",Hotels,255003.36
2019-02-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,8197.65
2019-02-01,K,"K. (Kaafu)",Resorts,26915425.96
2019-02-01,K,"K. (Kaafu)",Hotels,160020.12
2019-02-01,K,"K. (Kaafu)",Guesthouse,849794.54
2019-02-01,L,"L. (Laamu)",Resorts,412635.12
2019-02-01,L,"L. (Laamu)",Guesthouse,28330.08
2019-02-01,Lh,"Lh. (Lhaviyani)",Resorts,5385616.32
2019-02-01,Lh,"Lh. (Lhaviyani)",Guesthouse,1472.64
2019-02-01,Male,"Malé City",Hotels,601505.46
2019-02-01,Male,"Malé City",Guesthouse,561911.67
2019-02-01,N,"N. (Noonu)",Resorts,3750896.28
2019-02-01,N,"N. (Noonu)",Guesthouse,23577.48
2019-02-01,R,"R. (Raa)",Resorts,3782649.68
2019-02-01,S,"S. (Addu)",Resorts,783904.68
2019-02-01,S,"S. (Addu)",Hotels,288645.12
2019-02-01,S,"S. (Addu)",Guesthouse,12132.42
2019-02-01,Sh,"Sh. (Shaviyani)",Resorts,425679.24
2019-02-01,Th,"Th. (Thaa)",Resorts,159045.12
2019-02-01,Th,"Th. (Thaa)",Guesthouse,275.76
2019-02-01,V,"V. (Vaavu)",Resorts,1224868.32
2019-02-01,V,"V. (Vaavu)",Guesthouse,294702.72
2019-03-01,AA,"AA. (Alif Alif)",Resorts,5933138.94
2019-03-01,AA,"AA. (Alif Alif)",Guesthouse,326702.37
2019-03-01,ADh,"ADh. (Alif Dhaal)",Resorts,10240748.94
2019-03-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,330354.75
2019-03-01,B,"B. (Baa)",Resorts,7001862.78
2019-03-01,B,"B. (Baa)",Hotels,331683.84
2019-03-01,B,"B. (Baa)",Guesthouse,304122.87
2019-03-01,Dh,"Dh. (Dhaalu)",Resorts,2878895.94
2019-03-01,Dh,"Dh. (Dhaalu)",Guesthouse,9250.02
2019-03-01,F,"F. (Faafu)",Guesthouse,28483.83
2019-03-01,GA,"GA. (Gaafu Alif)",Resorts,1431623.40
2019-03-01,GA,"GA. (Gaafu Alif)",Hotels,334322.52
2019-03-01,GA,"GA. (Gaafu Alif)",Guesthouse,9943.74
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,2251532.83
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,1149.69
2019-03-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,7359.57
2019-03-01,HA,"HA. (Haa Alif)",Resorts,1141559.52
2019-03-01,HA,"HA. (Haa Alif)",Guesthouse,33976.50
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Resorts,276480.00
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Hotels,280967.88
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,14046.33
2019-03-01,K,"K. (Kaafu)",Resorts,25353988.76
2019-03-01,K,"K. (Kaafu)",Hotels,164107.32
