month,atoll_code,atoll_label,establishment_type,usd_amount,mvr_amount
2019-01-01,AA,"AA. (Alif Alif)",Resorts,409521.00,6282891.90
2019-01-01,AA,"AA. (Alif Alif)",Guesthouse,25596.00,392421.48
2019-01-01,ADh,"ADh. (Alif Dhaal)",Resorts,595512.00,9130758.12
2019-01-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,14215.00,217984.65
2019-01-01,B,"B. (Baa)",Resorts,396092.00,6075288.90
2019-01-01,B,"B. (Baa)",Hotels,19710.00,302351.40
2019-01-01,B,"B. (Baa)",Guesthouse,9864.00,151220.10
2019-01-01,Dh,"Dh. (Dhaalu)",Resorts,227034.00,3481961.52
2019-01-01,Dh,"Dh. (Dhaalu)",Guesthouse,249.00,3824.64
2019-01-01,F,"F. (Faafu)",Guesthouse,2013.00,30889.08
2019-01-01,GA,"GA. (Gaafu Alif)",Resorts,75572.00,1157487.44
2019-01-01,GA,"GA. (Gaafu Alif)",Hotels,16998.00,260749.32
2019-01-01,GA,"GA. (Gaafu Alif)",Guesthouse,213.00,3260.16
2019-01-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,96198.00,1474715.70
2019-01-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,171.00,2624.70
2019-01-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,303.00,4645.71
2019-01-01,HA,"HA. (Haa Alif)",Resorts,65550.00,1004393.10
2019-01-01,HA,"HA. (Haa Alif)",Guesthouse,1509.00,23155.26
2019-01-01,HDh,"HDh. (Haa Dhaalu)",Resorts,11730.00,179938.20
2019-01-01,HDh,"HDh. (Haa Dhaalu)",Hotels,13800.00,211692.00
2019-01-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,597.00,9147.33
2019-01-01,K,"K. (Kaafu)",Resorts,1760104.00,27003251.36
2019-01-01,K,"K. (Kaafu)",Hotels,9570.00,146899.50
2019-01-01,K,"K. (Kaafu)",Guesthouse,79848.00,1224403.10
2019-01-01,L,"L. (Laamu)",Resorts,28284.00,433876.56
2019-01-01,L,"L. (Laamu)",Guesthouse,1335.00,20479.23
2019-01-01,Lh,"Lh. (Lhaviyani)",Resorts,318642.00,4890383.22
2019-01-01,Lh,"Lh. (Lhaviyani)",Guesthouse,84.00,1288.56
2019-01-01,Male,"Malé City",Hotels,45936.00,704510.40
2019-01-01,Male,"Malé City",Guesthouse,46318.00,710252.77
2019-01-01,N,"N. (Noonu)",Resorts,189594.00,2909325.42
2019-01-01,N,"N. (Noonu)",Guesthouse,1008.00,15454.53
2019-01-01,R,"R. (Raa)",Resorts,250217.00,3838959.51
2019-01-01,S,"S. (Addu)",Resorts,71732.00,1100693.26
2019-01-01,S,"S. (Addu)",Hotels,13926.00,213624.84
2019-01-01,S,"S. (Addu)",Guesthouse,114.00,1749.12
2019-01-01,Sh,"Sh. (Shaviyani)",Resorts,20172.00,309640.20
2019-01-01,Th,"Th. (Thaa)",Resorts,18252.00,279985.68
2019-01-01,Th,"Th. (Thaa)",Guesthouse,24.00,368.16
2019-01-01,V,"V. (Vaavu)",Resorts,81528.00,1250639.52
2019-01-01,V,"V. (Vaavu)",Guesthouse,17885.00,274388.86
2019-02-01,AA,"AA. (Alif Alif)",Resorts,408312.00,6258133.14
2019-02-01,AA,"AA. (Alif Alif)",Guesthouse,20082.00,307783.74
2019-02-01,ADh,"ADh. (Alif Dhaal)",Resorts,626490.00,9607516.26
2019-02-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,16125.00,247182.63
2019-02-01,B,"B. (Baa)",Resorts,416616.00,6387464.82
2019-02-01,B,"B. (Baa)",Hotels,18462.00,283207.08
2019-02-01,B,"B. (Baa)",Guesthouse,9948.00,152466.69
2019-02-01,Dh,"Dh. (Dhaalu)",Resorts,248694.00,3810602.04
2019-02-01,Dh,"Dh. (Dhaalu)",Guesthouse,450.00,6906.78
2019-02-01,GA,"GA. (Gaafu Alif)",Resorts,65316.00,1003253.76
2019-02-01,GA,"GA. (Gaafu Alif)",Hotels,20586.00,315789.24
2019-02-01,GA,"GA. (Gaafu Alif)",Guesthouse,240.00,3679.00
2019-02-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,62214.00,954797.28
2019-02-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,12.00,183.84
2019-02-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,225.00,3452.00
2019-02-01,HA,"HA. (Haa Alif)",Resorts,78762.00,1205846.22
2019-02-01,HA,"HA. (Haa Alif)",Guesthouse,1794.00,27498.21
2019-02-01,HDh,"HDh. (Haa Dhaalu)",Resorts,17352.00,266179.68
2019-02-01,HDh,"HDh. (Haa Dhaalu)",Hotels,16656.00,255003.36
2019-02-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,534.00,8197.65
2019-02-01,K,"K. (Kaafu)",Resorts,1755616.00,26915425.96
2019-02-01,K,"K. (Kaafu)",Hotels,10452.00,160020.12
2019-02-01,K,"K. (Kaafu)",Guesthouse,55436.00,849794.54
2019-02-01,L,"L. (Laamu)",Resorts,26952.00,412635.12
2019-02-01,L,"L. (Laamu)",Guesthouse,1848.00,28330.08
2019-02-01,Lh,"Lh. (Lhaviyani)",Resorts,351498.00,5385616.32
2019-02-01,Lh,"Lh. (Lhaviyani)",Guesthouse,96.00,1472.64
2019-02-01,Male,"Malé City",Hotels,39228.00,601505.46
2019-02-01,Male,"Malé City",Guesthouse,36660.00,561911.67
2019-02-01,N,"N. (Noonu)",Resorts,244500.00,3750896.28
2019-02-01,N,"N. (Noonu)",Guesthouse,1539.00,23577.48
2019-02-01,R,"R. (Raa)",Resorts,246782.00,3782649.68
2019-02-01,S,"S. (Addu)",Resorts,51102.00,783904.68
2019-02-01,S,"S. (Addu)",Hotels,18792.00,288645.12
2019-02-01,S,"S. (Addu)",Guesthouse,792.00,12132.42
2019-02-01,Sh,"Sh. (Shaviyani)",Resorts,27804.00,425679.24
2019-02-01,Th,"Th. (Thaa)",Resorts,10368.00,159045.12
2019-02-01,Th,"Th. (Thaa)",Guesthouse,18.00,275.76
2019-02-01,V,"V. (Vaavu)",Resorts,79848.00,1224868.32
2019-02-01,V,"V. (Vaavu)",Guesthouse,19209.00,294702.72
2019-03-01,AA,"AA. (Alif Alif)",Resorts,387069.00,5933138.94
2019-03-01,AA,"AA. (Alif Alif)",Guesthouse,21297.00,326702.37
2019-03-01,ADh,"ADh. (Alif Dhaal)",Resorts,668160.00,10240748.94
2019-03-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,21534.00,330354.75
2019-03-01,B,"B. (Baa)",Resorts,456546.00,7001862.78
2019-03-01,B,"B. (Baa)",Hotels,21594.00,331683.84
2019-03-01,B,"B. (Baa)",Guesthouse,19815.00,304122.87
2019-03-01,Dh,"Dh. (Dhaalu)",Resorts,187914.00,2878895.94
2019-03-01,Dh,"Dh. (Dhaalu)",Guesthouse,603.00,9250.02
2019-03-01,F,"F. (Faafu)",Guesthouse,1860.00,28483.83
2019-03-01,GA,"GA. (Gaafu Alif)",Resorts,93576.00,1431623.40
2019-03-01,GA,"GA. (Gaafu Alif)",Hotels,21966.00,334322.52
2019-03-01,GA,"GA. (Gaafu Alif)",Guesthouse,648.00,9943.74
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,146747.00,2251532.83
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,75.00,1149.69
2019-03-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,480.00,7359.57
2019-03-01,HA,"HA. (Haa Alif)",Resorts,74712.00,1141559.52
2019-03-01,HA,"HA. (Haa Alif)",Guesthouse,2214.00,33976.50
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Resorts,18000.00,276480.00
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Hotels,18330.00,280967.88
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,915.00,14046.33
2019-03-01,K,"K. (Kaafu)",Resorts,1653526.00,25353988.76
2019-03-01,K,"K. (Kaafu)",Hotels,10698.00,164107.32
2019-03-01,K,"K. (Kaafu)",Guesthouse,103093.00,1581300.54
2019-03-01,L,"L. (Laamu)",Resorts,31530.00,482724.30
2019-03-01,L,"L. (Laamu)",Guesthouse,2199.00,33745.47
2019-03-01,Lh,"Lh. (Lhaviyani)",Resorts,331176.00,5080959.36
2019-03-01,Lh,"Lh. (Lhaviyani)",Guesthouse,108.00,1650.36
2019-03-01,Male,"Malé City",Hotels,44808.00,687755.04
2019-03-01,Male,"Malé City",Guesthouse,73257.00,1123674.51
