month,collection_mvr,expenditure_mvr
2019-01-01,75731574.51,0.00
2019-02-01,76768232.15,0.00
2019-03-01,79699982.88,21916082.83
2019-04-01,80331925.68,28004947.38
2019-05-01,75288771.42,11374922.66
2019-06-01,54932633.76,21654309.46
2019-07-01,49004841.98,8812110.39
2019-08-01,71192995.36,9439414.61
2019-09-01,72483974.67,34496739.58
2019-10-01,51542929.94,15401713.77
2019-11-01,70915717.72,22910941.39
2019-12-01,66774681.58,58376522.50
2020-01-01,82544456.21,0.00
2020-02-01,74585836.26,13580644.55
2020-03-01,71825122.14,35578391.32
2020-04-01,35158361.55,6012420.24
2020-05-01,7555930.56,17398110.33
2020-06-01,3740653.98,38310815.69
2020-07-01,5245677.09,12318126.97
2020-08-01,5152272.27,1835566.02
2020-09-01,6531110.44,49829343.30
2020-10-01,8172177.49,17550471.28
2020-11-01,15775165.95,18110829.78
2020-12-01,24304502.93,28469596.12
2021-01-01,56212219.78,9318263.49
2021-02-01,62664312.14,23414990.35
2021-03-01,92256115.75,18031892.18
2021-04-01,70497866.85,3161193.51
2021-05-01,51913275.10,31155427.16
2021-06-01,58887441.37,17514587.69
2021-07-01,27834809.09,23538491.98
2021-08-01,74833778.31,18396294.58
2021-09-01,70880378.74,53829097.35
2021-10-01,55494807.61,10684144.68
2021-11-01,73897726.10,46554471.96
2021-12-01,92384066.56,59316905.15
2022-01-01,93212792.70,8731703.84
2022-02-01,89442931.99,103093371.81
2022-03-01,102572420.41,86726110.67
2022-04-01,85129407.47,44954549.29
2022-05-01,94422957.51,28591950.18
2022-06-01,69427407.98,47930489.14
2022-07-01,61119904.71,14438567.16
2022-08-01,72670576.57,96302385.67
2022-09-01,76601540.49,21497731.78
2022-10-01,60031086.84,136285859.12
2022-11-01,74205953.38,44584017.26
2022-12-01,73704410.14,101889608.26
2023-01-01,98958024.49,54533111.61
2023-02-01,89631171.93,55664500.35
2023-03-01,102828342.67,65744628.29
2023-04-01,92530178.05,23809146.92
2023-05-01,80595506.85,3728955.17
2023-06-01,49347060.59,22694338.33
2023-07-01,90143542.81,35408606.82
2023-08-01,68619776.67,36587284.52
2023-09-01,52475081.26,22241978.33
2023-10-01,90975194.08,18320762.92
2023-11-01,82442854.48,9953804.53
2023-12-01,80160887.70,8404498.29
2024-01-01,97037448.30,0.00
2024-02-01,100759158.70,73659894.12
2024-03-01,111436319.33,18975117.09
2024-04-01,102906361.00,40482721.68
2024-05-01,83137383.85,42153979.41
2024-06-01,62815444.32,9733299.38
2024-07-01,59967260.23,2089710.58
2024-08-01,86142520.84,2146783.16
2024-09-01,87656685.74,57480083.71
2024-10-01,75595067.66,121629328.10
2024-11-01,83849031.34,20508460.99
2024-12-01,105787124.07,146264703.61
2025-01-01,105981877.99,0.00
2025-02-01,147371083.12,0.00
2025-03-01,265328767.98,67646162.23
2025-04-01,220937754.24,22511621.49
2025-05-01,199660997.75,329561.04
2025-06-01,160160901.07,38337320.84
2025-07-01,158394730.60,38609277.91
2025-08-01,189493214.08,0.00
2025-09-01,192705768.05,23780268.72
2025-10-01,169027103.18,19751546.73
2025-11-01,187090817.96,17096004.11
2025-12-01,213960374.62,8124066.53
2026-01-01,217237646.78,0.00
2026-02-01,198324581.72,0.00
2026-03-01,305372183.95,0.00
2026-04-01,180576251.43,0.00
2026-05-01,134894203.27,0.00
