month,project_code,project_name,category,spatial_scope,atoll,island,join_key,amount_mvr,cumulative_project_mvr,parsed_atoll,parsed_island,parsed_join_key,location_count,allocation_method,allocated_amount_mvr
2025-03-01,P-CPT001-001,Revetment Project - GDh.Thinadoo,Coastal protection,multi_location,R; GDh,evetment; Thinadoo,R.evetment; GDh.Thinadoo,1157680.51,1157680.51,GDh,Thinadhoo,GDh.Thinadhoo,1,direct,1157680.51
2025-04-01,P-CPT001-001,Revetment Project - GDh.Thinadoo,Coastal protection,multi_location,R; GDh,evetment; Thinadoo,R.evetment; GDh.Thinadoo,2120518.66,3278199.17,GDh,Thinadhoo,GDh.Thinadhoo,1,direct,2120518.66
2020-04-01,P-CPT002-001,Coastal Protection - Sh.Milandhoo,Coastal protection,single_island,Sh,Milandhoo,Sh.Milandhoo,62248.5,62248.5,Sh,Milandhoo,Sh.Milandhoo,1,direct,62248.5
2022-02-01,P-CPT002-001,Coastal Protection - Sh.Milandhoo,Coastal protection,single_island,Sh,Milandhoo,Sh.Milandhoo,5504328.58,5566577.08,Sh,Milandhoo,Sh.Milandhoo,1,direct,5504328.58
2022-10-01,P-CPT002-001,Coastal Protection - Sh.Milandhoo,Coastal protection,single_island,Sh,Milandhoo,Sh.Milandhoo,773524.4,6340101.48,Sh,Milandhoo,Sh.Milandhoo,1,direct,773524.4
2024-09-01,P-CPT002-001,Coastal Protection - Sh.Milandhoo,Coastal protection,single_island,Sh,Milandhoo,Sh.Milandhoo,15048070.21,21388171.69,Sh,Milandhoo,Sh.Milandhoo,1,direct,15048070.21
2025-03-01,P-CPT002-001,Coastal Protection - Sh.Milandhoo,Coastal protection,single_island,Sh,Milandhoo,Sh.Milandhoo,3562143.49,24950315.18,Sh,Milandhoo,Sh.Milandhoo,1,direct,3562143.49
2025-04-01,P-CPT002-001,Coastal Protection - Sh.Milandhoo,Coastal protection,single_island,Sh,Milandhoo,Sh.Milandhoo,5648392.95,30598708.13,Sh,Milandhoo,Sh.Milandhoo,1,direct,5648392.95
2020-04-01,P-CPT003-001,Coastal Protection - ADh.Omadhoo,Coastal protection,single_island,ADh,Omadhoo,ADh.Omadhoo,67495.5,67495.5,ADh,Omadhoo,ADh.Omadhoo,1,direct,67495.5
2021-09-01,P-CPT004-001,Coastal Protection - M.Dhiggaru,Coastal protection,single_island,M,Dhiggaru,M.Dhiggaru,153416.05,153416.05,M,Dhiggaru,M.Dhiggaru,1,direct,153416.05
2022-12-01,P-CPT004-001,Coastal Protection - M.Dhiggaru,Coastal protection,single_island,M,Dhiggaru,M.Dhiggaru,2594403.0,2747819.05,M,Dhiggaru,M.Dhiggaru,1,direct,2594403.0
2024-10-01,P-CPT004-001,Coastal Protection - M.Dhiggaru,Coastal protection,single_island,M,Dhiggaru,M.Dhiggaru,5283588.85,8031407.9,M,Dhiggaru,M.Dhiggaru,1,direct,5283588.85
2025-07-01,P-CPT004-001,Coastal Protection - M.Dhiggaru,Coastal protection,single_island,M,Dhiggaru,M.Dhiggaru,6336561.21,14367969.11,M,Dhiggaru,M.Dhiggaru,1,direct,6336561.21
2025-09-01,P-CPT004-001,Coastal Protection - M.Dhiggaru,Coastal protection,single_island,M,Dhiggaru,M.Dhiggaru,452858.17,14820827.28,M,Dhiggaru,M.Dhiggaru,1,direct,452858.17
2021-09-01,P-CPT006-001,Coastal Protection - Th.Vandhoo,Coastal protection,single_island,Th,Vandhoo,Th.Vandhoo,291559.75,291559.75,Th,Vandhoo,Th.Vandhoo,1,direct,291559.75
2021-11-01,P-CPT006-001,Coastal Protection - Th.Vandhoo,Coastal protection,single_island,Th,Vandhoo,Th.Vandhoo,64791.06,356350.81,Th,Vandhoo,Th.Vandhoo,1,direct,64791.06
2021-09-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,4754283.65,4754283.65,S,Meedhoo,S.Meedhoo,1,direct,4754283.65
2021-11-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,699276.91,5453560.56,S,Meedhoo,S.Meedhoo,1,direct,699276.91
2022-05-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,11548.0,5465108.56,S,Meedhoo,S.Meedhoo,1,direct,11548.0
2022-08-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,2508419.73,7973528.29,S,Meedhoo,S.Meedhoo,1,direct,2508419.73
2022-10-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,1292073.39,9265601.68,S,Meedhoo,S.Meedhoo,1,direct,1292073.39
2023-01-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,60420.0,9326021.68,S,Meedhoo,S.Meedhoo,1,direct,60420.0
2024-12-01,P-CPT008-001,Coastal Protectiont (Study)- S.Meedhoo,Coastal protection,multi_location,S; S,tudy; Meedhoo,S.tudy; S.Meedhoo,570073.97,9896095.65,S,Meedhoo,S.Meedhoo,1,direct,570073.97
2020-04-01,P-CPT009-001,Coastal Protection - HA. Uligamu,Coastal protection,single_island,HA,Uligamu,HA.Uligamu,24899.4,24899.4,HA,Uligamu,HA.Uligamu,1,direct,24899.4
2020-04-01,P-CPT012-001,Coastal Protection - Lh.Olhuvelifushi,Coastal protection,single_island,Lh,Olhuvelifushi,Lh.Olhuvelifushi,24358.8,24358.8,Lh,Olhuvelifushi,Lh.Olhuvelifushi,1,direct,24358.8
2023-04-01,P-CPT012-001,Coastal Protection - Lh.Olhuvelifushi,Coastal protection,single_island,Lh,Olhuvelifushi,Lh.Olhuvelifushi,2641064.31,2665423.11,Lh,Olhuvelifushi,Lh.Olhuvelifushi,1,direct,2641064.31
2024-02-01,P-CPT012-001,Coastal Protection - Lh.Olhuvelifushi,Coastal protection,single_island,Lh,Olhuvelifushi,Lh.Olhuvelifushi,1360993.15,4026416.26,Lh,Olhuvelifushi,Lh.Olhuvelifushi,1,direct,1360993.15
2024-05-01,P-CPT012-001,Coastal Protection - Lh.Olhuvelifushi,Coastal protection,single_island,Lh,Olhuvelifushi,Lh.Olhuvelifushi,7635102.86,11661519.12,Lh,Olhuvelifushi,Lh.Olhuvelifushi,1,direct,7635102.86
2021-09-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,347801.15,347801.15,M,Kolhufushi,M.Kolhufushi,1,direct,347801.15
2021-12-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,447172.91,794974.06,M,Kolhufushi,M.Kolhufushi,1,direct,447172.91
2022-02-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,3444295.39,4239269.45,M,Kolhufushi,M.Kolhufushi,1,direct,3444295.39
2022-03-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,703078.91,4942348.36,M,Kolhufushi,M.Kolhufushi,1,direct,703078.91
2022-07-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,125522.23,5067870.59,M,Kolhufushi,M.Kolhufushi,1,direct,125522.23
2022-08-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,1023482.69,6091353.28,M,Kolhufushi,M.Kolhufushi,1,direct,1023482.69
2022-10-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,2462385.04,8553738.32,M,Kolhufushi,M.Kolhufushi,1,direct,2462385.04
2022-11-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,198743.51,8752481.83,M,Kolhufushi,M.Kolhufushi,1,direct,198743.51
2022-12-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,3184607.03,11937088.86,M,Kolhufushi,M.Kolhufushi,1,direct,3184607.03
2023-02-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,10925991.58,22863080.44,M,Kolhufushi,M.Kolhufushi,1,direct,10925991.58
2023-07-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,17200.0,22880280.44,M,Kolhufushi,M.Kolhufushi,1,direct,17200.0
2024-04-01,P-CPT014-001,Coastal Protection - M.Kolhufushi,Coastal protection,single_island,M,Kolhufushi,M.Kolhufushi,277502.24,23157782.68,M,Kolhufushi,M.Kolhufushi,1,direct,277502.24
2021-09-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,1845489.43,1845489.43,M,Mulah,M.Mulah,1,direct,1845489.43
2021-10-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,367353.6,2212843.03,M,Mulah,M.Mulah,1,direct,367353.6
2021-11-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,2631300.41,4844143.44,M,Mulah,M.Mulah,1,direct,2631300.41
2021-12-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,5238096.51,10082239.95,M,Mulah,M.Mulah,1,direct,5238096.51
2022-01-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,1380.0,10083619.95,M,Mulah,M.Mulah,1,direct,1380.0
2022-03-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,7055173.6,17138793.55,M,Mulah,M.Mulah,1,direct,7055173.6
2022-04-01,P-CPT015-001,Coastal Protection - M. Mulah,Coastal protection,single_island,M,Mulah,M.Mulah,1000.0,17139793.55,M,Mulah,M.Mulah,1,direct,1000.0
