month,project_code,project_name,category,spatial_scope,atoll,island,join_key,amount_mvr,cumulative_project_mvr,unmapped_reason
2021-11-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,30500.0,30500.0,No valid atoll.island pattern found in project title.
2022-03-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,14980.0,45480.0,No valid atoll.island pattern found in project title.
2022-04-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,5300.0,50780.0,No valid atoll.island pattern found in project title.
2022-05-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,21746.85,72526.85,No valid atoll.island pattern found in project title.
2022-06-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,-3980.0,68546.85,No valid atoll.island pattern found in project title.
2022-07-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,-230.0,68316.85,No valid atoll.island pattern found in project title.
2022-11-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,183668.85,251985.7,No valid atoll.island pattern found in project title.
2022-12-01,P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,320401.67,572387.37,No valid atoll.island pattern found in project title.
2020-05-01,P-DRG004-001,Estb.of a Drainage Systm -Maradoofeydhoo,Drainage and stormwater,multi_location,S; M,ystm; aradoofeydhoo,S.ystm; M.aradoofeydhoo,76667.54,76667.54,No valid atoll.island pattern found in project title.
2020-10-01,P-DRG004-001,Estb.of a Drainage Systm -Maradoofeydhoo,Drainage and stormwater,multi_location,S; M,ystm; aradoofeydhoo,S.ystm; M.aradoofeydhoo,57500.65,134168.19,No valid atoll.island pattern found in project title.
2025-02-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,58178.1,58178.1,No valid atoll.island pattern found in project title.
2025-03-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,107356.2,No valid atoll.island pattern found in project title.
2025-04-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,156534.3,No valid atoll.island pattern found in project title.
2025-05-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,205712.4,No valid atoll.island pattern found in project title.
2025-06-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,254890.5,No valid atoll.island pattern found in project title.
2025-07-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,304068.6,No valid atoll.island pattern found in project title.
2025-08-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,353246.7,No valid atoll.island pattern found in project title.
2025-09-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,402424.8,No valid atoll.island pattern found in project title.
2025-10-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49178.1,451602.9,No valid atoll.island pattern found in project title.
2025-11-01,P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,49177.44,500780.34,No valid atoll.island pattern found in project title.
