atoll_code,atoll_label,collection_mvr,expenditure_mvr,net_flow_mvr,collection_share_pct,expenditure_share_pct
K,"K. (Kaafu)",2943181004.29,199464301.83,2743716702.46,35.95,7.53
ADh,"ADh. (Alif Dhaal)",808400847.17,109921259.80,698479587.37,9.87,4.15
R,"R. (Raa)",776239544.05,214814139.39,561425404.66,9.48,8.11
B,"B. (Baa)",568377345.76,157565970.66,410811375.10,6.94,5.95
AA,"AA. (Alif Alif)",552219846.93,186264598.63,365955248.30,6.74,7.03
Lh,"Lh. (Lhaviyani)",534221494.14,82359600.48,451861893.66,6.52,3.11
Dh,"Dh. (Dhaalu)",516385198.97,2883075.00,513502123.97,6.31,0.11
N,"N. (Noonu)",447736594.06,247510238.56,200226355.50,5.47,9.34
V,"V. (Vaavu)",188455636.66,99729903.17,88725733.49,2.30,3.76
GA,"GA. (Gaafu Alif)",183542851.49,61081428.59,122461422.90,2.24,2.31
Male,"Malé City",175217935.37,0.00,175217935.37,2.14,0.00
GDh,"GDh. (Gaafu Dhaalu)",101064979.59,113389533.82,-12324554.23,1.23,4.28
HA,"HA. (Haa Alif)",75615318.51,241159219.45,-165543900.94,0.92,9.10
S,"S. (Addu)",71495106.60,52934337.50,18560769.10,0.87,2.00
M,"M. (Meemu)",56875702.10,68243887.59,-11368185.49,0.69,2.58
HDh,"HDh. (Haa Dhaalu)",56225178.82,81898955.34,-25673776.52,0.69,3.09
Sh,"Sh. (Shaviyani)",53133665.41,363617722.44,-310484057.03,0.65,13.72
L,"L. (Laamu)",39662269.84,30915222.61,8747047.23,0.48,1.17
Th,"Th. (Thaa)",19707821.29,133002118.79,-113294297.50,0.24,5.02
F,"F. (Faafu)",16191831.20,134358866.00,-118167034.80,0.20,5.07
Gn,"Gn. (Fuvahmulah)",3923228.61,68611272.29,-64688043.68,0.05,2.59
