month,category,amount_mvr,cumulative_mvr
2019-01-01,Coastal protection,0.0,0.0
2019-02-01,Coastal protection,0.0,0.0
2019-03-01,Coastal protection,7981735.76,7981735.76
2019-04-01,Coastal protection,3044960.29,11026696.05
2019-05-01,Coastal protection,0.0,11026696.05
2019-06-01,Coastal protection,0.0,11026696.05
2019-07-01,Coastal protection,81047.23,11107743.28
2019-08-01,Coastal protection,26762.41,11134505.69
2019-09-01,Coastal protection,1766511.62,12901017.31
2019-10-01,Coastal protection,35842.41,12936859.72
2019-11-01,Coastal protection,26762.41,12963622.13
2019-12-01,Coastal protection,0.0,12963622.13
2020-01-01,Coastal protection,0.0,12963622.13
2020-02-01,Coastal protection,53524.82,13017146.95
2020-03-01,Coastal protection,26762.41,13043909.36
2020-04-01,Coastal protection,298911.31,13342820.67
2020-05-01,Coastal protection,27111.41,13369932.08
2020-06-01,Coastal protection,16533694.29,29903626.37
2020-07-01,Coastal protection,1058581.51,30962207.88
2020-08-01,Coastal protection,27111.41,30989319.29
2020-09-01,Coastal protection,19152558.57,50141877.86
2020-10-01,Coastal protection,27111.41,50168989.27
2020-11-01,Coastal protection,5772610.33,55941599.6
2020-12-01,Coastal protection,6291811.16,62233410.76
2021-01-01,Coastal protection,2507362.58,64740773.34
2021-02-01,Coastal protection,335653.1,65076426.44
2021-03-01,Coastal protection,59195.18,65135621.62
2021-04-01,Coastal protection,104134.94,65239756.56
2021-05-01,Coastal protection,355732.03,65595488.59
2021-06-01,Coastal protection,1130920.35,66726408.94
2021-07-01,Coastal protection,66702.41,66793111.35
2021-08-01,Coastal protection,72082.41,66865193.76
2021-09-01,Coastal protection,10193013.16,77058206.92
2021-10-01,Coastal protection,3184594.26,80242801.18
2021-11-01,Coastal protection,5079849.83,85322651.01
2021-12-01,Coastal protection,9751461.33,95074112.34
2022-01-01,Coastal protection,65663.21,95139775.55
2022-02-01,Coastal protection,66031775.31,161171550.86
2022-03-01,Coastal protection,30712377.64,191883928.5
2022-04-01,Coastal protection,10344570.18,202228498.68
2022-05-01,Coastal protection,6345407.71,208573906.39
2022-06-01,Coastal protection,2432886.98,211006793.37
2022-07-01,Coastal protection,7217851.12,218224644.49
2022-08-01,Coastal protection,47310791.12,265535435.61
2022-09-01,Coastal protection,7875867.3,273411302.91
2022-10-01,Coastal protection,38632892.19,312044195.1
2022-11-01,Coastal protection,12259387.07,324303582.17
2022-12-01,Coastal protection,35528851.12,359832433.29
2023-01-01,Coastal protection,21810318.88,381642752.17
2023-02-01,Coastal protection,41532111.98,423174864.15
2023-03-01,Coastal protection,31717589.92,454892454.07
2023-04-01,Coastal protection,6086277.11,460978731.18
2023-05-01,Coastal protection,32131.58,461010862.76
2023-06-01,Coastal protection,7000.69,461017863.45
2023-07-01,Coastal protection,125163.16,461143026.61
2023-08-01,Coastal protection,12518023.73,473661050.34
