month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-01-01,HA,HA.,Resorts,1004393.10
2019-01-01,HA,HA.,Guesthouse,23155.26
2019-02-01,HA,HA.,Resorts,1205846.22
2019-02-01,HA,HA.,Guesthouse,27498.21
2019-03-01,HA,HA.,Resorts,1141559.52
2019-03-01,HA,HA.,Guesthouse,33976.50
2019-04-01,HA,HA.,Resorts,1075993.02
2019-04-01,HA,HA.,Guesthouse,29316.66
2019-05-01,HA,HA.,Resorts,1113292.80
2019-05-01,HA,HA.,Guesthouse,14736.84
2019-06-01,HA,HA.,Resorts,578313.18
2019-06-01,HA,HA.,Guesthouse,9749.88
2019-07-01,HA,HA.,Resorts,672017.46
2019-07-01,HA,HA.,Guesthouse,827.82
2019-08-01,HA,HA.,Resorts,1019270.70
2019-08-01,HA,HA.,Guesthouse,552.60
2019-09-01,HA,HA.,Resorts,1174655.58
2019-09-01,HA,HA.,Guesthouse,8012.70
2019-10-01,HA,HA.,Resorts,747715.26
2019-10-01,HA,HA.,Guesthouse,6169.86
2019-11-01,HA,HA.,Resorts,875097.18
2019-11-01,HA,HA.,Guesthouse,10731.24
2019-12-01,HA,HA.,Resorts,720274.26
2020-01-01,HA,HA.,Resorts,1014684.42
2020-01-01,HA,HA.,Guesthouse,40285.99
2020-02-01,HA,HA.,Resorts,702086.22
2020-02-01,HA,HA.,Guesthouse,39575.85
2020-03-01,HA,HA.,Resorts,970565.64
2020-03-01,HA,HA.,Guesthouse,10669.20
2020-05-01,HA,HA.,Guesthouse,3225.60
2020-06-01,HA,HA.,Resorts,120296.28
2020-07-01,HA,HA.,Resorts,625172.04
2020-09-01,HA,HA.,Guesthouse,17531.19
2020-12-01,HA,HA.,Resorts,75982.86
2021-01-01,HA,HA.,Resorts,458076.42
2021-01-01,HA,HA.,Guesthouse,368.64
2021-02-01,HA,HA.,Resorts,562733.64
2021-03-01,HA,HA.,Resorts,513328.02
2021-03-01,HA,HA.,Guesthouse,4456.29
